Source,Target,Type,Weight
1,0,Undirected,1
3,2,Undirected,1
4,0,Undirected,1
5,4,Undirected,1
5,3,Undirected,1
6,2,Undirected,1
7,6,Undirected,1
8,7,Undirected,1
9,8,Undirected,1
9,0,Undirected,1
9,4,Undirected,1
10,5,Undirected,1
11,10,Undirected,1
11,5,Undirected,1
11,3,Undirected,1
13,12,Undirected,1
13,2,Undirected,1
14,2,Undirected,1
14,12,Undirected,1
15,14,Undirected,1
15,13,Undirected,1
15,2,Undirected,1
16,4,Undirected,1
16,9,Undirected,1
16,0,Undirected,1
17,16,Undirected,1
17,12,Undirected,1
18,12,Undirected,1
19,18,Undirected,1
20,17,Undirected,1
21,20,Undirected,1
21,8,Undirected,1
21,7,Undirected,1
22,9,Undirected,1
22,7,Undirected,1
22,21,Undirected,1
22,8,Undirected,1
23,22,Undirected,1
23,9,Undirected,1
23,4,Undirected,1
23,16,Undirected,1
23,0,Undirected,1
24,11,Undirected,1
25,24,Undirected,1
25,1,Undirected,1
26,3,Undirected,1
26,12,Undirected,1
26,14,Undirected,1
27,26,Undirected,1
27,17,Undirected,1
27,1,Undirected,1
28,4,Undirected,1
28,11,Undirected,1
28,24,Undirected,1
29,19,Undirected,1
30,29,Undirected,1
30,19,Undirected,1
31,18,Undirected,1
32,31,Undirected,1
32,21,Undirected,1
32,15,Undirected,1
32,13,Undirected,1
32,6,Undirected,1
33,0,Undirected,1
33,1,Undirected,1
33,25,Undirected,1
33,19,Undirected,1
34,31,Undirected,1
34,26,Undirected,1
34,12,Undirected,1
34,18,Undirected,1
35,34,Undirected,1
35,0,Undirected,1
35,29,Undirected,1
35,19,Undirected,1
35,30,Undirected,1
36,18,Undirected,1
36,12,Undirected,1
36,20,Undirected,1
36,19,Undirected,1
37,36,Undirected,1
37,1,Undirected,1
37,25,Undirected,1
37,33,Undirected,1
38,18,Undirected,1
38,16,Undirected,1
38,28,Undirected,1
38,26,Undirected,1
38,14,Undirected,1
38,12,Undirected,1
39,38,Undirected,1
39,6,Undirected,1
39,32,Undirected,1
39,13,Undirected,1
39,15,Undirected,1
40,7,Undirected,1
40,3,Undirected,1
41,40,Undirected,1
41,8,Undirected,1
41,4,Undirected,1
